"","Lambda","VV","VO","VB","BSV","BIV","BLV","ER","STD","RAS"
"32",0.32,0.3,0.3,0.3,5.55853864789275e-17,-2.77555756156289e-17,0.1,0.0542471921521195,0.183761612353292,0.936
"33",0.33,0.300000000000001,0.300000000000001,0.3,0,0,0.0999999999999976,0.0542471921521195,0.183761612353293,0.934
"34",0.34,0.299999999999999,0.3,0.3,1.14592209846698e-16,0,0.100000000000001,0.0542471921521194,0.183761612353292,0.932
"35",0.35,0.300000000000001,0.3,0.3,0,-2.77555756156289e-17,0.0999999999999987,0.0542471921521195,0.183761612353293,0.93
"36",0.36,0.3,0.300000000000001,0.3,5.89572055711871e-17,0,0.0999999999999993,0.0542471921521195,0.183761612353293,0.928
"37",0.37,0.299999999999999,0.3,0.3,0,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.926
"38",0.38,0.299999999999999,0.299999999999999,0.3,6.05727705998236e-17,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.924
"39",0.39,0.3,0.300000000000001,0.3,0,-2.77555756156289e-17,0.0999999999999984,0.0542471921521195,0.183761612353293,0.922
"40",0.4,0.3,0.3,0.3,3.10731756806198e-17,0,0.1,0.0542471921521195,0.183761612353292,0.92
"41",0.41,0.299999999999999,0.3,0.3,0,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.918
"42",0.42,0.300000000000001,0.300000000000001,0.3,3.18405301341326e-17,0,0.0999999999999987,0.0542471921521196,0.183761612353293,0.916
"43",0.43,0.299999999999999,0.3,0.3,-8.77285054893984e-17,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.914
"44",0.44,0.3,0.3,0.3,0,0,0.1,0.0542471921521195,0.183761612353292,0.912
"45",0.45,0.3,0.3,0.3,-9.88742395654518e-17,0,0.100000000000001,0.0542471921521195,0.183761612353292,0.91
"46",0.46,0.299999999999999,0.3,0.3,-3.33222685888947e-17,0,0.100000000000001,0.0542471921521195,0.183761612353292,0.908
"47",0.47,0.299999999999999,0.299999999999999,0.3,-1.56558710631481e-16,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.906
"48",0.48,0.3,0.3,0.3,-6.80779170143856e-17,0,0.0999999999999998,0.0542471921521195,0.183761612353293,0.904
"49",0.49,0.299999999999999,0.3,0.3,-2.11194479813991e-17,0,0.100000000000001,0.0542471921521195,0.183761612353292,0.902
"50",0.5,0.3,0.300000000000001,0.3,-6.94817330986589e-17,0,0.0999999999999996,0.0542471921521195,0.183761612353293,0.9
"51",0.51,0.3,0.3,0.3,3.97615386834643e-17,4.74851979972072e-17,0.1,0.0542471921521195,0.183761612353292,0.898
"52",0.52,0.3,0.3,0.3,-3.34867168578436e-17,2.83496887813801e-31,0.0999999999999997,0.0542471921521195,0.183761612353292,0.896
